writeWord	candidatWord	phoneticwriteWord	phoneticCanditatWord	levenshteinDistancePhonetic	firstLetterIdentical	wordLength	fauteOrtographe
dorzolamide timolol	dorzolamide timolol	DORZOLAMIDETIMOLOL	DORZOLAMIDETIMOLOL	0	1	19	1
vesicar	vesicare	VESIKAR	VESIKAR	0	1	7	1
amlopdipine	amlodipine	AMLOPDIPIN	AMLODIPIN	1	1	11	1
parkinan	parkinane	PARKINAN	PARKINAN	0	1	8	1
dolirpane	doliprane	DOLIRPAN	DOLIPRAN	2	1	9	1
sertaline	sertraline	SERTALIN	SERTRALIN	1	1	9	1
esomeprazol	esomeprazole	ESOMEPRAZOL	ESOMEPRAZOL	0	1	11	1
atorvasatine	atorvastatine	ATORVASATIN	ATORVASTATIN	1	1	12	1
seropex	seroplex	SEROP	SEROPL	1	1	7	1
inovane	imovane	INOVAN	IMOVAN	1	1	7	1
tardferon	tardyferon	TARDFERON	TARDIFERON	1	1	9	1
kardeic	kardegic	KARDEIK	KARDEJIK	1	1	7	1
valtarene	voltarene	VALTARAN	VOLTARAN	1	1	9	1
galanatamine	galantamine	GALANATAMIN	GALANTAMIN	1	1	12	1
sitalgliptine	sitagliptine	SITALGLIPTIN	SITAGLIPTIN	1	1	13	1
oxybutinine	oxybutynine	OXIBUTININ	OXIBUTININ	0	1	11	1
altizid	altizide	ALTIZI	ALTIZID	1	1	7	1
nibivolol	nebivolol	NIBIVOLOL	NEBIVOLOL	1	1	9	1
rosuvasvtatine	rosuvastatine	ROSUVASVTATIN	ROSUVASTATIN	1	1	14	1
beclomethasone	beclometasone	BEKLOMETASON	BEKLOMETASON	0	1	14	1
lacifluid	lacrifluid	LASIFLUI	LAKRIFLUI	2	1	9	1
exalon	exelon	EXALON	EXELON	1	1	6	1
levoothyrox	levothyrox	LEVOUTIRO	LEVOTIRO	1	1	11	1
ruilmenidine	rilmenidine	RUILMENIDIN	RILMENIDIN	1	1	12	1
metfocrmine	metformine	METFOKRMIN	METFORMIN	1	1	11	1
tusidane	tussidane	TUSIDAN	TUSIDAN	0	1	8	1
reuvela	renvela	REVELA	RANVELA	2	1	7	1
vesigare	vesicare	VESIGAR	VESIKAR	1	1	8	1
fenofibrates	fenofibrate	FENOFIBRAT	FENOFIBRAT	0	1	12	1
mesoprolol	metoprolol	MESOPROLOL	METOPROLOL	1	1	10	1
oxnormoro	oxynormoro	OXNORMORO	OXINORMORO	1	1	9	1
irbesartan hydrochlorothizaide	irbesartan hydrochlorothiazide	IRBESARTANIDROKLOROTIZAID	IRBESARTANIDROKLOROTIAZID	2	1	30	1
nerisone 1	nerisone c	NERISON	NERISONEK	2	1	10	0
rychmodan	rythmodan	RICHMODAN	RITMODAN	2	1	9	1
trinitine	trinitrine	TRINITIN	TRINITRIN	1	1	9	1
pravastatin	pravastatine	PRAVASTATIN	PRAVASTATIN	0	1	11	1
pantoprazol	pantoprazole	PANTOPRAZOL	PANTOPRAZOL	0	1	11	1
naftidroduryl	naftidrofuryl	NAFTIDRODURIL	NAFTIDROFURIL	1	1	13	1
innovaire	innovair	INOVAIR	INOVAIR	0	1	9	1
panoprazole	pantoprazole	PANOPRAZOL	PANTOPRAZOL	1	1	11	1
inspira	inspra	INSPIRA	INSPRA	1	1	7	1
zolpidiem	zolpidem	ZOLPIDIEM	ZOLPIDEM	1	1	9	1
dimaicron	diamicron	DIMAIKRON	DIAMIKRON	2	1	9	1
zolipidem	zolpidem	ZOLIPIDEM	ZOLPIDEM	1	1	9	1
tardyferon b	tardyferon b9	TARDIFERONB	TARDIFERONB	0	1	12	1
ritmenidine	rilmenidine	RITMENIDIN	RILMENIDIN	1	1	11	1
imexium	inexium	IMEXIUM	INEXIUM	1	1	7	1
mixonidine	moxonidine	MIXONIDIN	MOXONIDIN	1	1	10	1
ranipril	ramipril	RANIPRIL	RAMIPRIL	1	1	8	1
omeprazone	omeprazole	OMEPRAZON	OMEPRAZOL	1	1	10	1
simvarstatine	simvastatine	SIMVARSTATIN	SIMVASTATIN	1	1	13	1
odrick	odrik	ODRIK	ODRIK	0	1	6	1
ripaglinide	repaglinide	RIPAGLINID	REPAGLINID	1	1	11	1
venlaflaxine	venlafaxine	VENLAFLAXIN	VENLAFAXIN	1	1	12	1
ranvela	renvela	RANVELA	RANVELA	0	1	7	1
kadegic	kardegic	KADEJIK	KARDEJIK	1	1	7	1
risperdidone	risperidone	RISPERDIDON	RISPERIDON	1	1	12	1
pertasa	pentasa	PERTASA	PANTASA	2	1	7	1
pvalone	pivalone	PVALON	PIVALON	1	1	7	1
pernixon	permixon	PERNIXON	PERMIXON	1	1	8	1
dforlax	forlax	DFORLA	FORLA	1	0	7	1
cetornon	cetornan	SETORNON	SETORNAN	1	1	8	1
celirprolol	celiprolol	SELIRPROLOL	SELIPROLOL	1	1	11	1
warafarine	warfarine	OIRAFARIN	OIRFARIN	1	1	10	1
diprozone	diprosone	DIPROZON	DIPROSON	1	1	9	1
ganuvia	januvia	GANUVIA	JANUVIA	1	0	7	1
meteoxan	meteoxane	METEOXAN	METEOXAN	0	1	8	1
co kenzen	cokenzen	KOKANZAN	KOKANZAN	0	1	9	1
levothryroxine	levothyroxine	LEVOTRIROXIN	LEVOTIROXIN	1	1	14	1
lysenxia	lysanxia	LISENXIA	LISANXIA	1	1	8	1
trilpetal	trileptal	TRILPETAL	TRILEPTAL	2	1	9	1
levotyrox	levothyrox	LEVOTIRO	LEVOTIRO	0	1	9	1
temest	temesta	TEMES	TEMESTA	2	1	6	1
aloprazolam	loprazolam	ALOPRAZOLAM	LOPRAZOLAM	1	0	11	0
doliplrane	doliprane	DOLIPLRAN	DOLIPRAN	1	1	10	1
tardiferon	tardyferon	TARDIFERON	TARDIFERON	0	1	10	1
theralithe	teralithe	TERALIT	TERALIT	0	1	10	1
candesartant	candesartan	KANDESARTAN	KANDESARTAN	0	1	12	1
glimepride	glimepiride	GLIMEPRID	GLIMEPIRID	1	1	10	1
amplor	amlor	ANPLOR	AMLOR	2	1	6	1
allopurionl	allopurinol	ALOPURIONL	ALOPURINOL	2	1	11	1
laxilix	lasilix	LAXILI	LASILI	1	1	7	1
alfozosine	alfuzosine	ALFOZOSIN	ALFUZOSIN	1	1	10	1
azilec	azilect	AZILEK	AZILEKT	1	1	6	1
masilez	rasilez	MASIL	RASIL	1	0	7	1
vanlafaxine	venlafaxine	VANLAFAXIN	VENLAFAXIN	1	1	11	1
bactrium	bactrim	BAKTRIUM	BAKTRIM	1	1	8	1
azylect	azilect	AZILEKT	AZILEKT	0	1	7	1
alprazolame	alprazolam	ALPRAZOLAM	ALPRAZOLAM	0	1	11	1
dexerl	dexeryl	DEXERL	DEXERIL	1	1	6	1
alprazolamn	alprazolam	ALPRAZOLAMN	ALPRAZOLAM	1	1	11	1
travastan	travatan	TRAVASTAN	TRAVATAN	1	1	9	1
tramdol	tramadol	TRAMDOL	TRAMADOL	1	1	7	1
forsamax	fosamax	FORSAMA	FOSAMA	1	1	8	1
rifampicyne	rifampicine	RIFANPISIN	RIFANPISIN	0	1	11	1
axelor	axeler	AXELOR	AXEL	2	1	6	1
tramsulosine	tamsulosine	TRAMSULOSIN	TAMSULOSIN	1	1	12	1
hycantin	hycamtin	IKANTIN	IKAMTIN	1	1	8	1
bricanil	bricanyl	BRIKANIL	BRIKANIL	0	1	8	1
lerca	lercan	LERKA	LERKAN	1	1	5	0
doneprezil	donepezil	DONEPREZIL	DONEPEZIL	1	1	10	1
silondyx	silodyx	SILONDI	SILODI	1	1	8	1
proenid	profenid	PROANI	PROFENI	2	1	7	1
tardyferol	tardyferon	TARDIFEROL	TARDIFERON	1	1	10	1
micardis plus	micardisplus	MIKARDISPLU	MIKARDISPLU	0	1	13	1
amiodrone	amiodarone	AMIODRON	AMIODARON	1	1	9	1
piportil l 4	piportil l4	PIPORTI	PIPORTI	0	1	12	1
levorhyrox	levothyrox	LEVORIRO	LEVOTIRO	1	1	10	1
dolipranee	doliprane	DOLIPRAN	DOLIPRAN	0	1	10	1
coatreg	cotareg	KOATREG	KOTAREG	2	1	7	1
valsartant	valsartan	VALSARTAN	VALSARTAN	0	1	10	1
uvedos	uvedose	UVEDO	UVEDOS	1	1	6	1
levotyhroxine	levothyroxine	LEVOTIROXIN	LEVOTIROXIN	0	1	13	1
mycardis	micardis	MIKARDI	MIKARDI	0	1	8	1
liptrozet	liptruzet	LIPTROZ	LIPTRUZ	1	1	9	1
bromazepan	bromazepam	BROMAZEPAN	BROMAZEPAM	1	1	10	1
lamotrigin	lamotrigine	LAMOTRIJIN	LAMOTRIJIN	0	1	10	1
tandolapril	trandolapril	TANDOLAPRIL	TRANDOLAPRIL	1	1	11	1
atrapid	actrapid	ATRAPI	AKTRAPI	1	1	7	1
innexium	inexium	INEXIUM	INEXIUM	0	1	8	1
leris	ceris	LERI	SERI	1	0	5	1
tanganyl	tanganil	TANGANIL	TANGANIL	0	1	8	1
micropakie	micropakine	MIKROPAKI	MIKROPAKIN	1	1	10	1
micropakin	micropakine	MIKROPAKIN	MIKROPAKIN	0	1	10	1
mirtazipine	mirtazapine	MIRTAZIPIN	MIRTAZAPIN	1	1	11	1
hept a mil	hept a myl	EPTAMIL	EPTAMIL	0	1	10	1
gabapentin	gabapentine	GABAPANTIN	GABAPANTIN	0	1	10	1
lansoprazol	lansoprazole	LANSOPRAZOL	LANSOPRAZOL	0	1	11	1
levodopa benseraside	levodopa benserazide	LEVODOPABANSERASID	LEVODOPABANSERAZID	1	1	20	1
paclitaxol	paclitaxel	PAKLITAXOL	PAKLITAXEL	1	1	10	1
vlsartan	valsartan	VLSARTAN	VALSARTAN	1	1	8	1
omacon	omacor	OMAKON	OMAKOR	1	1	6	1
tamsilosine	tamsulosine	TAMSILOSIN	TAMSULOSIN	1	1	11	1
mitrazapine	mirtazapine	MITRAZAPIN	MIRTAZAPIN	2	1	11	1
esomaprazole	esomeprazole	ESOMAPRAZOL	ESOMEPRAZOL	1	1	12	1
zolpiderm	zolpidem	ZOLPIDERM	ZOLPIDEM	1	1	9	1
liptanthyl	lipanthyl	LIPTANTI	LIPANTI	1	1	10	1
l cystine	l cystine	LSISTIN	LSISTIN	0	1	9	1
cospt	cosopt	KOSP	KOSOP	1	1	5	1
pregalbaline	pregabaline	PREGALBALIN	PREGABALIN	1	1	12	1
coversyll	coversyl	KOVERSIL	KOVERSIL	0	1	9	1
nizisco	nisisco	NIZISKO	NISISKO	1	1	7	1
xalacome	xalacom	XALAKOM	XALAKON	1	1	8	1
cozaal	cozaar	KOZAL	KOZAR	1	1	6	0
fortimel	fortigel	FORTIMEL	FORTIJEL	1	1	8	0
furose mide	furosemide	FUROSEMID	FUROSEMID	0	1	11	1
calcium vitamine d	calcium vitamine d3	KALSIUMVITAMIN	KALSIUMVITAMIN	0	1	18	1
tamsulosin	tamsulosine	TAMSULOSIN	TAMSULOSIN	0	1	10	1
epidra	apidra	EPIDRA	APIDRA	1	0	6	1
vitamine d 3	vitamine d3	VITAMIN	VITAMIN	0	1	12	1
hydrochlorthiazide	hydrochlorothiazide	IDROKLORTIAZID	IDROKLOROTIAZID	1	1	18	1
advgraf	advagraf	ADVGRAF	ADVAGRAF	1	1	7	1
tadenam	tadenan	TADENAM	TADENAN	1	1	7	1
cortencyl	cortancyl	KORTANSIL	KORTANSIL	0	1	9	1
travastatine	pravastatine	TRAVASTATIN	PRAVASTATIN	1	0	12	1
epinitryl	epinitril	EPINITRIL	EPINITRIL	0	1	9	1
oxicodone	oxycodone	OXIKODON	OXIKODON	0	1	9	1
sinimet	sinemet	SINIM	SINEM	1	1	7	1
beta histine	betahistine	BETAISTIN	BETAISTIN	0	1	12	1
gavison	gaviscon	GAVISON	GAVISKON	1	1	7	1
teralene	theralene	TERALAN	TERALAN	0	1	8	1
renon	xenon	RENON	XENON	1	0	5	0
immovane	imovane	IMOVAN	IMOVAN	0	1	8	1
rapeprazole	rabeprazole	RAPEPRAZOL	RABEPRAZOL	1	1	11	1
xelelia	xelevia	XELELIA	XELEVIA	1	1	7	1
calperos d 3	calperos d3	KALPEROS	KALPEROS	0	1	12	1
lalmictal	lamictal	LALMIKTAL	LAMIKTAL	1	1	9	1
metoclopramid	metoclopramide	METOKLOPRAMI	METOKLOPRAMID	1	1	13	1
tahors	tahor	TAOR	TAOR	0	1	6	1
certivan	certican	SERTIVAN	SERTIKAN	1	1	8	1
singular	singulair	SINGULAR	SINGULAIR	1	1	8	1
avodar	avodart	AVODAR	AVODAR	0	1	6	1
lasilix speial	lasilix special	LASILIXSPAIAL	LASILIXSPESIAL	2	1	14	1
neuro	neupro	NERO	NEPRO	1	1	5	0
aerus	aerius	AERU	AERIU	1	1	5	1
vogalen	vogalene	VOGALAN	VOGALAN	0	1	7	1
fumarer	fumafer	FUMAR	FUMAF	1	1	7	1
doliporane	doliprane	DOLIPORAN	DOLIPRAN	1	1	10	1
modoar	modopar	MODOAR	MODOPAR	1	1	6	1
mucomyste	mucomyst	MUKOMIST	MUKOMIS	1	1	9	1
timol	stimol	TIMOL	STIMOL	1	0	5	0
anuvia	januvia	ANUVIA	JANUVIA	1	0	6	1
cortancl	cortancyl	KORTANKL	KORTANSIL	2	1	8	1
tranquitale	tranquital	TRANKITAL	TRANKITAL	0	1	11	1
naproxen	naproxene	NAPROXAN	NAPROXAN	0	1	8	1
servent	serevent	SERVAN	SEREVAN	1	1	7	1
yzaar	hyzaar	IZAR	IZAR	0	0	5	1
pantoprozole	pantoprazole	PANTOPROZOL	PANTOPRAZOL	1	1	12	1
prevastatine	pravastatine	PREVASTATIN	PRAVASTATIN	1	1	12	1
magrogol	macrogol	MAGROGOL	MAKROGOL	1	1	8	1
aeris	aerius	AERI	AERIU	1	1	5	1
imopvane	imovane	IMOPVAN	IMOVAN	1	1	8	1
zestryl	zestril	ZESTRIL	ZESTRIL	0	1	7	1
inexiuum	inexium	INEXIUM	INEXIUM	0	1	8	1
sinmet	sinemet	SINM	SINEM	1	1	6	1
thyrosol	thyrozol	TIROSOL	TIROZOL	1	1	8	1
lansoprozole	lansoprazole	LANSOPROZOL	LANSOPRAZOL	1	1	12	1
verlone	kerlone	VERLON	KERLON	1	0	7	1
co olmetec	coolmetec	KOULMETEK	KOULMETEK	0	1	10	1
tanganile	tanganil	TANGANIL	TANGANIL	0	1	9	1
hemi daonil	hemi daonil	EMIDAONIL	EMIDAONIL	0	1	11	1
cetirizime	cetirizine	SETIRIZIM	SETIRIZIN	1	1	10	1
escitalopnam	escitalopram	ESITALOPNAM	ESITALOPRAM	1	1	12	1
zopliclone	zopiclone	ZOPLIKLON	ZOPIKLON	1	1	10	1
diclofena	diclofenac	DIKLOFENA	DIKLOFENAK	1	1	9	1
endrocur	androcur	ANDROKUR	ANDROKUR	0	0	8	1
actiscenan	actiskenan	AKTISENAN	AKTISKENAN	1	1	10	1
rilmenedine	rilmenidine	RILMENEDIN	RILMENIDIN	1	1	11	1
transpeg	transipeg	TRANSPEG	TRANSIPEG	1	1	8	1
lisinopril hydrochlorothiazide	lisinopril hydrochlorothiazide	LISINOPRILIDROKLOROTIAZID	LISINOPRILIDROKLOROTIAZID	0	1	30	1
furadil	foradil	FURADIL	FORADIL	1	1	7	1
movilol	movicol	MOVILOL	MOVIKOL	1	1	7	1
stinox	stilnox	STINO	STILNO	1	1	6	1
myzollen	mizollen	MIZOLAN	MIZOLAN	0	1	8	1
dexereyl	dexeryl	DEXERAIL	DEXERIL	1	1	8	1
hei daonil	hemi daonil	EIDAONIL	EMIDAONIL	1	1	10	1
vsicare	vesicare	VSIKAR	VESIKAR	1	1	7	1
piportil l	piportil l4	PIPORTI	PIPORTI	0	1	10	1
amlon	amlor	AMLON	AMLOR	1	1	5	1
xtardi	xtandi	XTARDI	XTANDI	1	1	6	1
sulfarlme	sulfarlem	SULFARLM	SULFARLEM	1	1	9	1
zolpiden	zolpidem	ZOLPIDAN	ZOLPIDEM	2	1	8	1
xaral	xatral	XARAL	XATRAL	1	1	5	1
kerdegic	kardegic	KERDEJIK	KARDEJIK	1	1	8	1
omeoprazole	omeprazole	OMEOPRAZOL	OMEPRAZOL	1	1	11	1
coradrone	cordarone	KORADRON	KORDARON	2	1	9	1
valsartan hydrochlorothiazide	valsartan hydrochlorothiazide	VALSARTANIDROKLOROTIAZID	VALSARTANIDROKLOROTIAZID	0	1	29	1
coversil	coversyl	KOVERSIL	KOVERSIL	0	1	8	1
latanoprost timolol	latanoprost timolol	LATANOPROSTIMOLOL	LATANOPROSTIMOLOL	0	1	19	1
propanolol	propranolol	PROPANOLOL	PROPRANOLOL	1	1	10	1
simtrom	sintrom	SIMTROM	SINTROM	1	1	7	1
vitamine d	vitamine d3	VITAMIN	VITAMIN	0	1	10	0
vitamine b	vitamine b1	VITAMINEB	VITAMINEB	0	1	10	0
lerca press	lercapress	LERKAPR	LERKAPR	0	1	11	1
isomeprazole	esomeprazole	ISOMEPRAZOL	ESOMEPRAZOL	1	0	12	1
diclofenal	diclofenac	DIKLOFENAL	DIKLOFENAK	1	1	10	1
pentoprazole	pantoprazole	PANTOPRAZOL	PANTOPRAZOL	0	1	12	1
atenlol	atenolol	ATANLOL	ATENOLOL	2	1	7	1
ezomeprazole	esomeprazole	EZOMEPRAZOL	ESOMEPRAZOL	1	1	12	1
valsarthan	valsartan	VALSARTAN	VALSARTAN	0	1	10	1
pregabalin	pregabaline	PREGABALIN	PREGABALIN	0	1	10	1
crestot	crestor	KRESTO	KRESTOR	1	1	7	1
crestos	crestor	KRESTO	KRESTOR	1	1	7	1
pantaprazole	pantoprazole	PANTAPRAZOL	PANTOPRAZOL	1	1	12	1
verapamyl	verapamil	VERAPAMIL	VERAPAMIL	0	1	9	1
coversam	coveram	KOVERSAM	KOVERAM	1	1	8	1
cardegic	kardegic	KARDEJIK	KARDEJIK	0	0	8	1
probinyl	prokinyl	PROBINIL	PROKINIL	1	1	8	1
coversal	coversyl	KOVERSAL	KOVERSIL	1	1	8	1
zofenil duo	zofenilduo	ZOFENILDUO	ZOFENILDUO	0	1	11	1
simvastaine	simvastatine	SIMVASTAIN	SIMVASTATIN	1	1	11	1
structom	structum	STRUKTON	STRUKTUM	2	1	8	1
duree	uree	DUR	UR	1	0	5	0
kaneurona	kaneuron	KANERONA	KANERON	1	1	9	1
stillnox	stilnox	STILNO	STILNO	0	1	8	1
pravasatatine	pravastatine	PRAVASATATIN	PRAVASTATIN	1	1	13	1
nasocort	nasacort	NASOKOR	NASAKOR	1	1	8	1
tahon	tahor	TAON	TAOR	1	1	5	1
cardentiel	cardensiel	KARDANSIEL	KARDANSIEL	0	1	10	1
septinon	septivon	SEPTINON	SEPTIVON	1	1	8	1
metfomrine	metformine	METFOMRIN	METFORMIN	2	1	10	1
mandipine	manidipine	MANDIPIN	MANIDIPIN	1	1	9	1
inexum	inexium	INEXUM	INEXIUM	1	1	6	1
inipompe	inipomp	INIPONP	INIPONP	0	1	8	1
inegys	inegy	INEJI	INEJI	0	1	6	1
triptane	driptane	TRIPTAN	DRIPTAN	1	0	8	0
de lysine	dl lysine	DELISIN	DLISIN	1	1	9	1
alendronique acide	alendronique acide	ALANDRONIKEASID	ALANDRONIKEASID	0	1	18	1
topiaz	toviaz	TOPIAZ	TOVIAZ	1	1	6	1
nisico	nisisco	NISIKO	NISISKO	1	1	6	1
kertone	kerlone	KERTON	KERLON	1	1	7	1
daonel	daonil	DAONEL	DAONIL	1	1	6	1
singulaire	singulair	SINGULAIR	SINGULAIR	0	1	10	1
nspra	inspra	NSPRA	INSPRA	1	0	5	1
lectol	lectil	LEKTOL	LEKTI	2	1	6	1
incapamide	indapamide	INKAPAMID	INDAPAMID	1	1	10	1
ezeterol	ezetrol	EZETEROL	EZETROL	1	1	8	1
eurpressyl	eupressyl	ERPRESIL	EPRESIL	1	1	10	1
gliglazide	gliclazide	GLIGLAZID	GLIKLAZID	1	1	10	1
sreoplex	seroplex	SREOPL	SEROPL	2	1	8	1
acetyleucine	acetylleucine	ASETILESIN	ASETILESIN	0	1	12	1
pritor plus	pritorplus	PRITORPLU	PRITORPLU	0	1	11	1
hemigoxinenativelle	hemigoxine nativelle	EMIGOXINENATIVEL	EMIGOXINENATIVEL	0	1	19	1
aliquis	eliquis	ALIKI	ELIKI	1	0	7	1
brinzolamine	brinzolamide	BRINZOLAMIN	BRINZOLAMID	1	1	12	1
triaetc	triatec	TRIAETC	TRIATEK	3	1	7	1
spectral	sectral	SPEKTRAL	SEKTRAL	1	1	8	0
lecan	lercan	LEKAN	LERKAN	1	1	5	1
tamanic	tavanic	TAMANIK	TAVANIK	1	1	7	1
floxetine	fluoxetine	FLOXETIN	FLUOXETIN	1	1	9	1
kleanprep	klean prep	KLEANPREP	KLEANPREP	0	1	9	1
hydrocostisone	hydrocortisone	IDROKOSTISON	IDROKORTISON	1	1	14	1
duoxetine	duloxetine	DUOXETIN	DULOXETIN	1	1	9	1
norcet	norset	NORS	NORS	0	1	6	1
trimeutine	trimebutine	TRIMETIN	TRIMEBUTIN	2	1	10	1
ramipriel	ramipril	RAMIPRIEL	RAMIPRIL	1	1	9	1
augmetin	augmentin	OGMETIN	OGMANTIN	2	1	8	1
aspirine protec	aspirine protect	ASPIRINEPROTEK	ASPIRINEPROTEKT	1	1	15	1
ezetimide	ezetimibe	EZETIMID	EZETIMIB	1	1	9	1
tanguanil	tanganil	TANGANIL	TANGANIL	0	1	9	1
pagulax	spagulax	PAGULA	SPAGULA	1	0	7	1
avarga	azarga	AVARGA	AZARGA	1	1	6	1
ibufeteum	ibufetum	IBUFETEM	IBUFETUM	1	1	9	1
malaxose	melaxose	MALAXOS	MELAXOS	1	1	8	1
actisouffre	actisoufre	AKTISOUFR	AKTISOUFR	0	1	11	1
daonyl	daonil	DAONIL	DAONIL	0	1	6	1
ceterizine	cetirizine	SETERIZIN	SETIRIZIN	1	1	10	1
